12:12:00 system           | rule-engine started (pid=24242)
12:12:00 system           | telegram-adapter started (pid=24248)
12:12:00 system           | gpt3-adapter started (pid=24251)
12:12:00 system           | heartbeat started (pid=24246)
12:12:01 gpt3-adapter     | [2022-11-10 12:12:01.131] [DEBUG]: Starting gpt3_adapter
12:12:01 gpt3-adapter     | [2022-11-10 12:12:01.132] [DEBUG]: Starting prometheus on port: 3273
12:12:01 gpt3-adapter     | [2022-11-10 12:12:01.238] [DEBUG]: Created consumer for topic(s)=['public/default/workspace-ms-ivo-app-gpt3-adapter-input'] with group_id=gpt3_adapter and configuration={'consumer_type': _pulsar.ConsumerType.Shared, 'initial_position': _pulsar.InitialPosition.Earliest}
12:12:01 gpt3-adapter     | [2022-11-10 12:12:01.239] [INFO]: Listening on topic <public/default/workspace-ms-ivo-app-gpt3-adapter-input>
12:12:01 heartbeat        | [2022-11-10 12:12:01.348] [INFO]: Starting heartbeat...
12:12:01 heartbeat        | [2022-11-10 12:12:01.350] [DEBUG]: Starting prometheus on port: 5191
12:12:01 heartbeat        | [2022-11-10 12:12:01.355] [DEBUG]: Couldn't initialize SIGINT: signal only works in main thread of the main interpreter
12:12:01 heartbeat        | [2022-11-10 12:12:01.482] [DEBUG]: Created consumer for topic(s)=['public/default/workspace-ms-ivo-app-agent-data_change', 'public/default/workspace-ms-ivo-app-heartbeat-input'] with group_id=heartbeat and configuration={'consumer_type': _pulsar.ConsumerType.Shared, 'initial_position': _pulsar.InitialPosition.Earliest}
12:12:01 heartbeat        | [2022-11-10 12:12:01.483] [DEBUG]: Couldn't initialize SIGINT: signal only works in main thread of the main interpreter
12:12:01 heartbeat        | [2022-11-10 12:12:01.483] [INFO]: Listening on 2 topics
12:12:01 telegram-adapter | [2022-11-10 12:12:01.869] [DEBUG]: Creating TelegramAdapter's Updater
12:12:01 telegram-adapter | [2022-11-10 12:12:01.870] [DEBUG]: Creating TelegramAdapter's handler for cloud storage
12:12:01 telegram-adapter | [2022-11-10 12:12:01.941] [INFO]: Starting telegram_adapter...
12:12:01 telegram-adapter | [2022-11-10 12:12:01.942] [INFO]: Starting TelegramAdapter's Updater in polling mode
12:12:02 telegram-adapter | [2022-11-10 12:12:02.095] [DEBUG]: Successfully started Updater polling
12:12:02 telegram-adapter | [2022-11-10 12:12:02.096] [DEBUG]: Starting prometheus on port: 2761
12:12:02 telegram-adapter | [2022-11-10 12:12:02.158] [DEBUG]: Created consumer for topic(s)=['public/default/workspace-ms-ivo-app-telegram-adapter-input'] with group_id=telegram_adapter and configuration={'consumer_type': _pulsar.ConsumerType.Shared, 'initial_position': _pulsar.InitialPosition.Earliest}
12:12:02 telegram-adapter | [2022-11-10 12:12:02.159] [INFO]: Listening on topic <public/default/workspace-ms-ivo-app-telegram-adapter-input>
12:12:06 rule-engine      | [2022-11-10 12:12:06.785] [INFO]: Creating new agent: Smith(super=Agent(id=SMITH, connections={}, type=Smith))
12:12:07 rule-engine      | [2022-11-10 12:12:07.477] [WARN]: Cannot get DNS TTL settings from sun.net.InetAddressCachePolicy class
12:12:07 rule-engine      | java.lang.IllegalAccessException: class org.apache.pulsar.common.util.netty.DnsResolverUtil cannot access class sun.net.InetAddressCachePolicy (in module java.base) because module java.base does not export sun.net to unnamed module @6979e8cb
12:12:07 rule-engine      | 	at jdk.internal.reflect.Reflection.newIllegalAccessException(Reflection.java:392) ~[?:?]
12:12:07 rule-engine      | 	at java.lang.reflect.AccessibleObject.checkAccess(AccessibleObject.java:674) ~[?:?]
12:12:07 rule-engine      | 	at java.lang.reflect.Method.invoke(Method.java:560) ~[?:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.common.util.netty.DnsResolverUtil.<clinit>(DnsResolverUtil.java:46) ~[app.jar:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.ConnectionPool.createAddressResolver(ConnectionPool.java:118) ~[app.jar:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.ConnectionPool.lambda$new$1(ConnectionPool.java:106) ~[app.jar:?]
12:12:07 rule-engine      | 	at java.util.Optional.orElseGet(Optional.java:364) ~[?:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.ConnectionPool.<init>(ConnectionPool.java:106) ~[app.jar:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.ConnectionPool.<init>(ConnectionPool.java:75) ~[app.jar:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.ConnectionPool.<init>(ConnectionPool.java:70) ~[app.jar:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.PulsarClientImpl.<init>(PulsarClientImpl.java:187) ~[app.jar:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.PulsarClientImpl.<init>(PulsarClientImpl.java:145) ~[app.jar:?]
12:12:07 rule-engine      | 	at org.apache.pulsar.client.impl.ClientBuilderImpl.build(ClientBuilderImpl.java:67) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.messaging.clients.pulsar.PulsarProducer.create(PulsarProducer.java:68) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.messaging.clients.pulsar.PulsarProducer.send(PulsarProducer.java:125) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.messaging.clients.pulsar.PulsarProducer.send(PulsarProducer.java:116) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.core.api.DataChangeEvent.send(DataChangeEvent.java:62) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.core.api.DataChangeEvent.emit(DataChangeEvent.java:58) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.core.db.Database.emitChange(Database.java:197) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.core.db.Database.save(Database.java:150) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.sdk.core.db.Database.save(Database.java:134) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.ruleEngine.util.Agents.updateAndUnlockSummary(Agents.java:159) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.ruleEngine.util.Agents.createAgent(Agents.java:43) ~[app.jar:?]
12:12:07 rule-engine      | 	at Runner.initialize(Runner.java:15) ~[app.jar:?]
12:12:07 rule-engine      | 	at com.mindsmiths.ruleEngine.runner.RuleEngineService.<init>(RuleEngineService.java:90) ~[app.jar:?]
12:12:07 rule-engine      | 	at Runner.<init>(Runner.java:6) ~[app.jar:?]
12:12:07 rule-engine      | 	at Runner.main(Runner.java:19) ~[app.jar:?]
12:12:07 rule-engine      | [2022-11-10 12:12:07.724] [DEBUG]: Created producer for topic=public/default/workspace-ms-ivo-app-agent-data_change with configuration={blockIfQueueFull=true, compressionType=LZ4, batchingEnabled=true, sendTimeoutMs=0}
12:12:07 rule-engine      | [2022-11-10 12:12:07.725] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"HiXuM1AS","timestamp":"2022-11-10T12:12:07.010373Z","signalType":"DATA_CHANGE","from":"rule_engine","changeType":"CREATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}
12:12:07 heartbeat        | [2022-11-10 12:12:07.754] [DEBUG]: Received message: b'{"id":"HiXuM1AS","timestamp":"2022-11-10T12:12:07.010373Z","signalType":"DATA_CHANGE","from":"rule_engine","changeType":"CREATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}'
12:12:07 rule-engine      | [2022-11-10 12:12:07.787] [DEBUG]: Created producer for topic=public/default/workspace-ms-ivo-app-agents-input with configuration={blockIfQueueFull=true, compressionType=LZ4, batchingEnabled=true, sendTimeoutMs=0}
12:12:07 rule-engine      | [2022-11-10 12:12:07.787] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agents-input>: {"id":"HqPEhecb","timestamp":"2022-11-10T12:12:07.750075Z","signalType":"MESSAGE","from":"rule_engine","messageType":"Initialize","to":"SMITH","returnAddress":"public/default/workspace-ms-ivo-app-rule-engine-input"}
12:12:07 rule-engine      | [2022-11-10 12:12:07.787] [INFO]: Starting rule engine...
12:12:07 heartbeat        | [2022-11-10 12:12:07.800] [DEBUG]: Producer for topic=public/default/workspace-ms-ivo-app-heartbeat-model-data_change created with configuration={'compression_type': _pulsar.CompressionType.LZ4, 'batching_enabled': True, 'block_if_queue_full': True, 'send_timeout_millis': 0}.
12:12:07 heartbeat        | [2022-11-10 12:12:07.800] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-heartbeat-model-data_change>: b'{"id": "zHHmVUU2", "timestamp": "2022-11-10T12:12:07.764975Z", "signalType": "DATA_CHANGE", "from": "heartbeat", "changeType": "CREATED", "objectType": "HeartbeatModel", "object": {"agentId": "SMITH", "nextHeartbeatAt": "2022-11-10T12:12:37.758892Z"}}'
12:12:07 heartbeat        | [2022-11-10 12:12:07.801] [DEBUG]: Created HeartbeatModel SMITH
12:12:07 rule-engine      | [2022-11-10 12:12:07.922] [DEBUG]: Created consumer for topic(s)=[public/default/workspace-ms-ivo-app-rule-engine-input, public/default/workspace-ms-ivo-app-telegram-received-message-event, public/default/workspace-ms-ivo-app-agents-input] with group_id=rule_engine and configuration={subscriptionType=Shared, subscriptionInitialPosition=Earliest}
12:12:07 rule-engine      | [2022-11-10 12:12:07.934] [INFO]: Starting prometheus on 0.0.0.0:9645
12:12:07 rule-engine      | [2022-11-10 12:12:07.948] [INFO]: Listening on 3 topics
12:12:07 rule-engine      | [2022-11-10 12:12:07.949] [DEBUG]: Received message: '{"id":"HqPEhecb","timestamp":"2022-11-10T12:12:07.750075Z","signalType":"MESSAGE","from":"rule_engine","messageType":"Initialize","to":"SMITH","returnAddress":"public/default/workspace-ms-ivo-app-rule-engine-input"}
12:12:07 rule-engine      | [2022-11-10 12:12:07.981] [DEBUG]: Evaluating agent SMITH
12:12:08 rule-engine      | [2022-11-10 12:12:08.981] [DEBUG]: Adding facts: [Smith(super=Agent(id=SMITH, connections={}, type=Smith))]
12:12:08 rule-engine      | [2022-11-10 12:12:08.985] [DEBUG]: Adding signals: [(Initialize(),signals)]
12:12:09 rule-engine      | [2022-11-10 12:12:09.078] [INFO]: Smith's heartbeat - num agents: 1
12:12:09 rule-engine      | [2022-11-10 12:12:09.080] [DEBUG]: Rule fired: Smith's Heartbeat
12:12:09 rule-engine      | [2022-11-10 12:12:09.129] [DEBUG]: Created producer for topic=public/default/workspace-ms-ivo-app-evaluation-event with configuration={blockIfQueueFull=true, compressionType=LZ4, batchingEnabled=true, sendTimeoutMs=0}
12:12:09 rule-engine      | [2022-11-10 12:12:09.130] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"UEb4i4FJ","timestamp":"2022-11-10T12:12:09.086582Z","signalType":"EVENT","from":"SMITH","eventType":"Evaluation","agentId":"SMITH","evaluatedAt":"2022-11-10T12:12:09.089508Z"}
12:12:09 rule-engine      | [2022-11-10 12:12:09.135] [DEBUG]: Updating facts: [Smith(super=Agent(id=SMITH, connections={}, type=Smith))]
12:12:09 rule-engine      | [2022-11-10 12:12:09.158] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"BMpCnG6R","timestamp":"2022-11-10T12:12:09.157504Z","signalType":"DATA_CHANGE","from":"SMITH","changeType":"UPDATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}
12:12:09 heartbeat        | [2022-11-10 12:12:09.164] [DEBUG]: Received message: b'{"id":"BMpCnG6R","timestamp":"2022-11-10T12:12:09.157504Z","signalType":"DATA_CHANGE","from":"SMITH","changeType":"UPDATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}'
12:12:14 telegram-adapter | [2022-11-10 12:12:14.581] [DEBUG]: Received update from Telegram: {'message': {'delete_chat_photo': False, 'date': 1668082334, 'chat': {'id': 5733149430, 'type': 'private', 'first_name': 'Farafrfljo'}, 'caption_entities': [], 'supergroup_chat_created': False, 'photo': [], 'new_chat_members': [], 'channel_chat_created': False, 'text': 'Hey', 'new_chat_photo': [], 'group_chat_created': False, 'message_id': 184, 'entities': [], 'from': {'language_code': 'hr', 'first_name': 'Farafrfljo', 'id': 5733149430, 'is_bot': False}}, 'update_id': 862158526}
12:12:14 telegram-adapter | [2022-11-10 12:12:14.581] [DEBUG]: New message from 5733149430
12:12:14 telegram-adapter | [2022-11-10 12:12:14.581] [DEBUG]: Inserting Telegram Message in DB.
12:12:14 telegram-adapter | [2022-11-10 12:12:14.633] [DEBUG]: Created ReceivedMessage 184
12:12:14 telegram-adapter | [2022-11-10 12:12:14.664] [DEBUG]: Producer for topic=public/default/workspace-ms-ivo-app-telegram-received-message-event created with configuration={'compression_type': _pulsar.CompressionType.LZ4, 'batching_enabled': True, 'block_if_queue_full': True, 'send_timeout_millis': 0}.
12:12:14 telegram-adapter | [2022-11-10 12:12:14.665] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-telegram-received-message-event>: b'{"id": "oqMUhuRx", "timestamp": "2022-11-10T12:12:14.636953Z", "signalType": "EVENT", "from": "telegram_adapter", "eventType": "TelegramReceivedMessage", "messageId": "184", "firstName": "Farafrfljo", "lastName": null, "chatId": "5733149430", "receivedAt": "2022-11-10T12:12:14.000000Z", "text": "Hey", "location": null, "mediaList": null, "mediaGroupId": null, "replyToMessageId": null, "rawData": {"message": {"delete_chat_photo": false, "date": 1668082334, "chat": {"id": 5733149430, "type": "private", "first_name": "Farafrfljo"}, "caption_entities": [], "supergroup_chat_created": false, "photo": [], "new_chat_members": [], "channel_chat_created": false, "text": "Hey", "new_chat_photo": [], "group_chat_created": false, "message_id": 184, "entities": [], "from": {"language_code": "hr", "first_name": "Farafrfljo", "id": 5733149430, "is_bot": false}}, "update_id": 862158526}}'
12:12:14 rule-engine      | [2022-11-10 12:12:14.681] [DEBUG]: Received message: '{"id": "oqMUhuRx", "timestamp": "2022-11-10T12:12:14.636953Z", "signalType": "EVENT", "from": "telegram_adapter", "eventType": "TelegramReceivedMessage", "messageId": "184", "firstName": "Farafrfljo", "lastName": null, "chatId": "5733149430", "receivedAt": "2022-11-10T12:12:14.000000Z", "text": "Hey", "location": null, "mediaList": null, "mediaGroupId": null, "replyToMessageId": null, "rawData": {"message": {"delete_chat_photo": false, "date": 1668082334, "chat": {"id": 5733149430, "type": "private", "first_name": "Farafrfljo"}, "caption_entities": [], "supergroup_chat_created": false, "photo": [], "new_chat_members": [], "channel_chat_created": false, "text": "Hey", "new_chat_photo": [], "group_chat_created": false, "message_id": 184, "entities": [], "from": {"language_code": "hr", "first_name": "Farafrfljo", "id": 5733149430, "is_bot": false}}, "update_id": 862158526}}
12:12:14 rule-engine      | [2022-11-10 12:12:14.776] [INFO]: Creating new agent: Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)
